checkpoint,task_type,camera,n,frame_read_pct,detect_pct,ok_conf_pct,conf_mean,conf_p10,conf_p50,area_mean,area_p50
first_insert,nic,center,5,100.0,100.0,100.0,0.8509380459785462,0.812020194530487,0.8587818741798401,0.0021891081404713,0.002206807118505417
first_insert,nic,left,5,100.0,100.0,100.0,0.8794655680656434,0.8622665047645569,0.8803781867027283,0.002450703114359006,0.002400810439010254
first_insert,nic,right,5,100.0,80.0,60.0,0.44540627151727674,0.03660359680652619,0.6333146095275879,0.0018360632535202766,0.002044207624464889
first_insert,sc,center,2,100.0,100.0,50.0,0.5835898965597153,0.39663281142711637,0.5835898965597153,0.0036312744840516745,0.0036312744840516745
first_insert,sc,left,2,100.0,100.0,0.0,0.29145174473524094,0.14837641566991805,0.29145174473524094,0.0036649899105501366,0.0036649899105501366
first_insert,sc,right,2,100.0,100.0,50.0,0.2802326576784253,0.07181304041296244,0.2802326576784253,0.002276491318084951,0.002276491318084951
last_approach,nic,center,5,100.0,100.0,100.0,0.8414130330085754,0.7819060325622559,0.8574743270874023,0.0022662805822458647,0.002215890731690706
last_approach,nic,left,5,100.0,100.0,100.0,0.876601266860962,0.8555060744285583,0.8809710144996643,0.0024799677407682137,0.0023650549525958318
last_approach,nic,right,5,100.0,80.0,40.0,0.47324304580688475,0.11659846305847169,0.41426223516464233,0.001833001727230352,0.0020847629424199316
last_approach,sc,center,2,100.0,100.0,50.0,0.5737206786870956,0.3788418024778366,0.5737206786870956,0.004089193052436713,0.004089193052436713
last_approach,sc,left,2,100.0,100.0,0.0,0.3875740170478821,0.3212567210197449,0.3875740170478821,0.0035234334590512617,0.0035234334590512617
last_approach,sc,right,2,100.0,100.0,50.0,0.2970580430701375,0.07518099043518306,0.2970580430701375,0.002249805332818903,0.002249805332818903
